time,temp
07.05.2023 15:00,11.1
06.05.2023 15:00,23.3
05.05.2023 15:00,22.6
04.05.2023 15:00,19.7
03.05.2023 15:00,16.7
02.05.2023 15:00,15.9
01.05.2023 15:00,15.5
30.04.2023 15:00,13.4
29.04.2023 15:00,16.4
28.04.2023 15:00,17.3
27.04.2023 15:00,20.3
26.04.2023 15:00,20.4
25.04.2023 15:00,12.2
24.04.2023 15:00,16.8
23.04.2023 15:00,14.1
22.04.2023 15:00,12.2
21.04.2023 15:00,13.4
20.04.2023 15:00,12.1
19.04.2023 15:00,11.5
18.04.2023 15:00,14.0
17.04.2023 15:00,15.1
16.04.2023 15:00,11.8
15.04.2023 15:00,8.5
14.04.2023 15:00,11.1
13.04.2023 15:00,10.8
12.04.2023 15:00,16.9
11.04.2023 15:00,17.4
10.04.2023 15:00,17.6
09.04.2023 15:00,9.1
08.04.2023 15:00,17.2
07.04.2023 15:00,17.9
06.04.2023 15:00,10.5
05.04.2023 15:00,15.4
04.04.2023 15:00,15.5
03.04.2023 15:00,11.1
02.04.2023 15:00,16.3
01.04.2023 15:00,10.8
31.03.2023 15:00,7.9
30.03.2023 15:00,1.0
29.03.2023 15:00,4.8
28.03.2023 15:00,13.1
27.03.2023 15:00,9.3
26.03.2023 15:00,9.7
25.03.2023 15:00,10.9
24.03.2023 15:00,13.4
23.03.2023 15:00,16.6
22.03.2023 15:00,10.3
21.03.2023 15:00,11.0
20.03.2023 15:00,14.6
19.03.2023 15:00,7.4
18.03.2023 15:00,8.1
17.03.2023 15:00,9.0
16.03.2023 15:00,9.0
15.03.2023 15:00,13.0
14.03.2023 15:00,10.9
13.03.2023 15:00,6.4
12.03.2023 15:00,7.7
11.03.2023 15:00,12.4
10.03.2023 15:00,10.6
09.03.2023 15:00,11.1
08.03.2023 15:00,9.5
07.03.2023 15:00,4.3
06.03.2023 15:00,7.5
05.03.2023 15:00,4.1
04.03.2023 15:00,4.1
03.03.2023 15:00,3.9
02.03.2023 15:00,2.4
01.03.2023 15:00,2.7
28.02.2023 15:00,4.2
27.02.2023 15:00,13.7
26.02.2023 15:00,6.5
25.02.2023 15:00,3.2
24.02.2023 15:00,-0.8
23.02.2023 15:00,-1.7
22.02.2023 15:00,0.9
21.02.2023 15:00,3.3
20.02.2023 15:00,4.0
19.02.2023 15:00,1.8
18.02.2023 15:00,-1.1
17.02.2023 15:00,-2.2
16.02.2023 15:00,-0.5
15.02.2023 15:00,0.5
14.02.2023 15:00,0.4
13.02.2023 15:00,0.1
12.02.2023 15:00,-0.5
11.02.2023 15:00,0.1
10.02.2023 15:00,-0.7
09.02.2023 15:00,-2.4
08.02.2023 15:00,-2.0
07.02.2023 15:00,-5.4
06.02.2023 15:00,-1.0
05.02.2023 15:00,-0.7
04.02.2023 15:00,1.7
03.02.2023 15:00,2.8
02.02.2023 15:00,-0.4
01.02.2023 15:00,-1.0
31.01.2023 15:00,1.2
30.01.2023 15:00,2.0
29.01.2023 15:00,2.8
28.01.2023 15:00,1.2
27.01.2023 15:00,1.9
26.01.2023 15:00,2.1
25.01.2023 15:00,3.5
24.01.2023 15:00,3.2
23.01.2023 15:00,2.7
22.01.2023 15:00,0.3
21.01.2023 15:00,1.3
20.01.2023 15:00,2.7
19.01.2023 15:00,5.0
18.01.2023 15:00,4.8
17.01.2023 15:00,4.7
16.01.2023 15:00,0.3
15.01.2023 15:00,-0.5
14.01.2023 15:00,-0.9
13.01.2023 15:00,0.4
12.01.2023 15:00,-2.2
11.01.2023 15:00,-6.8
10.01.2023 15:00,-10.3
09.01.2023 15:00,-7.3
08.01.2023 15:00,-11.1
07.01.2023 15:00,-9.8
06.01.2023 15:00,3.9
05.01.2023 15:00,3.1
04.01.2023 15:00,6.7
03.01.2023 15:00,5.5
02.01.2023 15:00,4.6
01.01.2023 15:00,3.6
31.12.2022 15:00,2.1
30.12.2022 15:00,4.5
29.12.2022 15:00,2.8
28.12.2022 15:00,4.0
27.12.2022 15:00,1.2
26.12.2022 15:00,3.1
25.12.2022 15:00,1.7
24.12.2022 15:00,-0.2
23.12.2022 15:00,2.6
22.12.2022 15:00,0.0
21.12.2022 15:00,0.1
20.12.2022 15:00,-0.8
19.12.2022 15:00,0.3
18.12.2022 15:00,7.5
17.12.2022 15:00,10.2
16.12.2022 15:00,2.1
15.12.2022 15:00,1.0
14.12.2022 15:00,1.2
13.12.2022 15:00,3.6
12.12.2022 15:00,5.1
11.12.2022 15:00,7.8
10.12.2022 15:00,5.8
09.12.2022 15:00,4.1
